df_name,Classification Model,Number of Features (K),Score - Genetic,Score - MRMR,Score - New_dssa,Score - ReliefF,Score - SVM,Score - dssa,Score - f_classif,Rank - Genetic,Rank - MRMR,Rank - New_dssa,Rank - ReliefF,Rank - SVM,Rank - dssa,Rank - f_classif
ARFF_Breast,LogisticRegression,1,0.6325660699062233,0.6402387041773231,0.5699062233589088,0.8043478260869564,0.3921568627450981,0.4096334185848252,0.8043478260869564,4.0,3.0,5.0,1.5,7.0,6.0,1.5
ARFF_Breast,LogisticRegression,2,0.5417732310315431,0.6138107416879797,0.3959931798806479,0.8094629156010231,0.5682011935208866,0.3942881500426257,0.8124467178175618,5.0,3.0,6.0,2.0,4.0,7.0,1.0
ARFF_Breast,LogisticRegression,3,0.5358056265984654,0.6270247229326513,0.3303495311167945,0.8154305200341007,0.5485933503836317,0.3691389599317988,0.8452685421994884,5.0,3.0,7.0,2.0,4.0,6.0,1.0
ARFF_Breast,LogisticRegression,4,0.515771526001705,0.6513213981244671,0.4207161125319693,0.8461210571184996,0.5468883205456095,0.552003410059676,0.8439897698209718,6.0,3.0,7.0,1.0,5.0,4.0,2.0
ARFF_Breast,LogisticRegression,5,0.4842284739982949,0.632992327365729,0.3857630008525149,0.8580562659846547,0.5421994884910486,0.5447570332480819,0.8499573742540495,6.0,3.0,7.0,1.0,5.0,4.0,2.0
ARFF_Breast,LogisticRegression,10,0.5635123614663257,0.5861040068201194,0.6044330775788577,0.8759590792838875,0.5630861040068201,0.5839727195225916,0.8815004262574595,6.0,4.0,3.0,2.0,7.0,5.0,1.0
ARFF_Breast,LogisticRegression,15,0.6351236146632566,0.5848252344416027,0.6457800511508952,0.8716965046888321,0.6082693947144074,0.5856777493606138,0.8870417732310316,4.0,7.0,3.0,2.0,5.0,6.0,1.0
ARFF_Breast,LogisticRegression,20,0.6632566069906223,0.5745950554134698,0.6641091219096334,0.922847399829497,0.6193520886615516,0.578005115089514,0.8819266837169651,4.0,7.0,3.0,1.0,5.0,6.0,2.0
ARFF_Breast,LogisticRegression,25,0.6982097186700768,0.5890878090366582,0.6342710997442456,0.931372549019608,0.6005967604433078,0.5971867007672634,0.8861892583120204,3.0,7.0,4.0,1.0,5.0,6.0,2.0
ARFF_Breast,LogisticRegression,30,0.705456095481671,0.5443307757885764,0.6095481670929241,0.9215686274509804,0.680306905370844,0.6116794543904518,0.8623188405797102,3.0,7.0,6.0,1.0,4.0,5.0,2.0
ARFF_Breast,LogisticRegression,50,0.7195225916453538,0.5605285592497868,0.5775788576300085,0.9075021312872976,0.6099744245524297,0.6445012787723785,0.8768115942028984,3.0,7.0,6.0,1.0,5.0,4.0,2.0
ARFF_Breast,LogisticRegression,100,0.7647058823529411,0.540920716112532,0.5238704177323102,0.90920716112532,0.6172208013640238,0.7024722932651322,0.8947144075021314,3.0,6.0,7.0,1.0,5.0,4.0,2.0
ARFF_Breast,RandomForestClassifier,1,0.6419437340153453,0.5837595907928389,0.5577578857630009,0.7357203751065643,0.4931798806479113,0.353154305200341,0.72229326513214,3.0,4.0,5.0,1.0,6.0,7.0,2.0
ARFF_Breast,RandomForestClassifier,2,0.4771952259164536,0.4789002557544757,0.5187553282182439,0.7721653878942882,0.6630434782608696,0.4658994032395566,0.7131287297527706,6.0,5.0,4.0,1.0,3.0,7.0,2.0
